company_name,stock_symbol,legal_name,address,city,state,zipcode,area_code,ABI,primary_SIC_code,SIC6_description,primary_NAICS_code,NAICS8_description,parent_company_ABI,classification,unique_id,parent_company_unique_id
E1,17940,(주)E1,,,,,,,,,,,,f,451a1f3e-b392-4480-a1dd-79038eae206c,
ECO (ATLANTIC) OIL & GAS,EOG,Eco (Atlantic) Oil & Gas Ltd,,,,,,,,,,,,f,1cb29118-fc9d-49a8-af90-de35afbc909e,
ECOPETROL,ECOPETROL,Ecopetrol SA,,,,,,,,,,,,f,86749ae1-42fc-4319-9d6c-88cc9d133a5f,
EDDA WIND,EWIND,Edda Wind ASA,,,,,,,,,,,,f,8c790408-9445-4c29-bac6-9cecfe7281f7,
EL PASO ENERGY CAPITAL,EP-PC,El Paso Energy Capital Trust I,,,,,,,,,,,,f,7f6d1b60-7bca-400b-af08-2d89c0c846b0,
ELIXIR ENERGY,EXR,Elixir Energy Ltd,,,,,,,,,,,,f,caaf9b28-6b81-4381-b780-fcc8392ac7d0,
ELNUSA,ELSA,PT Elnusa Tbk,,,,,,,,,,,,f,8e107811-8b9b-4d72-97d0-51c42178e8cc,
ELVALHALCOR,ELHA,ΕΛΒΑΛΧΑΛΚΟΡ A.E.,,,,,,,,,,,,f,3515f416-d840-4aff-8cba-6d4df1a197f8,
EMPIRE PETROLEUM,EP,Empire Petroleum Corp,,,,,,,,,,,,f,4db517ec-7aa1-4a16-9391-052ba7f8fa30,
EMPRESA METROPOLITANA,EMAE4,Empresa Metropolitana de Águas e Energia S.A.,,,,,,,,,,,,f,61c88c3e-14bb-4790-96df-cf51b8563f96,
EMPRESAS LIPIGAS,LIPIGAS,Empresas Lipigas SA,,,,,,,,,,,,f,a8a904dc-9f38-4ae8-b5d3-6fb896eec0e9,
ENAGAS,ENG,"Enagás, S.A.",,,,,,,,,,,,f,2f0351f7-057a-4b68-9c34-b927cf90d900,
ENAUTA PARTICIPACOES,ENAT3,Enauta Participacoes SA,,,,,,,,,,,,f,39066989-1ad9-455b-b8a6-79ca6ae87ad4,
ENBRIDGE,ENB,Enbridge Inc,,,,,,,,,,,,f,b5bc025a-e84c-41ac-a61a-d60ae31e656f,
ENBW ENERGIE BADEN,EBK,EnBW Energie Baden-Württemberg AG,,,,,,,,,,,,f,b84ba587-2d2e-4091-a7f6-4ee5eb0ad088,
ENDESA,ELE,"Endesa, S.A.",,,,,,,,,,,,f,286dca1f-7a4a-4cc3-9a3f-d3b5093c8175,
ENEA,ENA,Enea SA,,,,,,,,,,,,f,47f314a6-6af4-4f08-be19-997a97379cf4,
ENEL,ENEL,Enel SpA,,,,,,,,,,,,f,0c3d029c-e0b6-4cf3-ae45-25708ae58640,
ENEOS HOLDINGS,5020,ＥＮＥＯＳホールディングス株式会社,,,,,,,,,,,,f,ecae7d52-1845-41fb-a879-11fc4ac81c4e,
ENERFLEX,EFX,Enerflex Ltd,,,,,,,,,,,,f,c1cc991f-e291-49f1-a4d9-3e8e22b20b05,
ENERGA,ENG,Energa SA,,,,,,,,,,,,f,a97d43a4-303c-4a47-8ebb-9c800e0af683,
ENERGEAN,ENOG,Energean PLC,,,,,,,,,,,,f,6d4d3e92-24b6-4dda-8cc8-28c02abd71be,
ENERGI MEGA PERSADA,ENRG,PT Energi Mega Persada Tbk,,,,,,,,,,,,f,5b478ca1-853f-4133-9add-b75b83c4c5ca,
ENERGY INTL INV HLDGS,353,能源国际投资控股有限公司,,,,,,,,,,,,f,e7d57b5f-319c-494b-9535-f5ecdf47b93b,
ENERGY TRANSFER,ET,Energy Transfer LP,,,,,,,,,,,,f,6abd80e6-213b-46c1-8cbf-f5551fb22092,
ENERGY WORLD CORPORATION,EWC,Energy World Corp Ltd,,,,,,,,,,,,f,ca6ff46d-3dfb-4531-8ecd-422a8880667c,
ENERPLUS,ERF,Enerplus Corp,,,,,,,,,,,,f,5c05d22c-2a47-40d4-ac5a-facb7d68ea1d,
ENEVA,ENEV3,Eneva SA,,,,,,,,,,,,f,1182ee22-42ec-4269-8ace-bba1a2855918,
ENGIE,ENGI,Engie SA,,,,,,,,,,,,f,80002e92-e9eb-454e-bf2f-bce03bc51a84,
ENGIE ENERGIA CHILE,ECL,Engie Energia Chile SA,,,,,,,,,,,,f,bf54a19b-8ad2-471a-a5c3-c3052ce3687f,
ENI,ENI,Eni SpA,,,,,,,,,,,,f,450c10a6-bf0b-4908-8c6e-16cda0e6dd85,
ENLINK MIDSTREAM,ENLC,EnLink Midstream LLC,,,,,,,,,,,,f,cc635eb3-59f1-4cd6-8bf0-1c7ee009bf75,
ENN NATURAL GAS,600803,新奥天然气股份有限公司,,,,,,,,,,,,f,788274cf-3cdb-4ffd-8707-7d107a47a54a,
ENQUEST,ENQ,EnQuest PLC,,,,,,,,,,,,f,88d59f22-f8ed-41ad-82b0-58670e2b0c7e,
ENSERVCO,ENSV,Enservco Corp,,,,,,,,,,,,f,a242b397-ff99-40cf-ab3f-33c8d14a9032,
ENSIGN ENERGY SERVICES,ESI,Ensign Energy Services Inc,,,,,,,,,,,,f,ff103c47-62af-48e2-9ff8-6ae8e329218b,
ENTERGY,ETR,Entergy Corp,,,,,,,,,,,,f,109beb2f-3066-4618-81a6-f68a9eeb7ad0,
ENTERPRISE PRODS PARTNERS,EPD,Enterprise Products Partners LP,,,,,,,,,,,,f,1a9cc6c6-719e-48af-9988-0044b9c9250f,
EOG RESOURCES,EOG,EOG Resources Inc,,,,,,,,,,,,f,ca801275-0956-4ea7-8ac8-2cf2d33d160b,
EPSILON ENERGY,EPSN,Epsilon Energy Ltd,,,,,,,,,,,,f,b7389975-5352-4c45-8eb8-459c29c967ad,
EQT,EQT,EQT Corp,,,,,,,,,,,,f,f64de27c-b102-40c1-b781-ad4a237d959b,
EQUINOR,EQNR,Equinor ASA,,,,,,,,,,,,f,45518efd-57c1-4bf8-bfab-70463195bcd7,
EQUITAL,EQTL,אקויטל בע,,,,,,,,,,,,f,768c4af9-6de0-4a6d-9307-5a9bc4c57c6a,
EQUITRANS MIDSTREAM,ETRN,Equitrans Midstream Corp,,,,,,,,,,,,f,bdf83273-6813-4cf4-97d4-7e6715df75b6,
ESSO,ES,Esso SAF,,,,,,,,,,,,f,c8efe035-28c5-4108-ab5c-c557ed19be91,
ETABLISSEMENTS MAUREL,MAU,Etablissements Maurel & Prom,,,,,,,,,,,,f,32d76ac0-d6d1-4f6d-8273-9b42bbb535c7,
EURONAV,EURN,Euronav NV,,,,,,,,,,,,f,addc3845-806b-4bc1-9c23-ca9468cbc06e,
EVERGY,EVRG,Evergy Inc,,,,,,,,,,,,f,a3f51e45-6c01-40ab-b22c-c48e86bbc54c,
EVOLUTION PETROLEUM,EPM,Evolution Petroleum Corp,,,,,,,,,,,,f,556cec68-a256-4f53-bed3-fa3722ff72b5,
EXCELERATE ENERGY,EE,Excelerate Energy Inc,,,,,,,,,,,,f,65db9931-d2b0-4c16-9f58-d797bac305a4,
EXMAR,EXM,Exmar NV,,,,,,,,,,,,f,fa6b0499-9f29-4a4a-a624-ecd4cbb82b28,
EXPRO GR HLDGS,XPRO,Expro Group Holdings NV,,,,,,,,,,,,f,ec6caa5c-5411-488e-a8c8-6759dfd3a89b,
EXXON MOBIL,XOM,Exxon Mobil Corp,,,,,,,,,,,,f,49d7379f-c74b-4ac2-9896-131fe3423109,
EZRA HOLDINGS,5DN,Ezra Holdings Ltd,,,,,,,,,,,,f,94ff81ec-a32e-4e1e-87ba-cd47ae3bdcef,
FERRELLGAS PARTNERS,FGPR,Ferrellgas Partners LP,,,,,,,,,,,,f,d8d79e3c-7ddb-4ec5-89c4-7806ca7a9f0d,
FIRST GEN,FGEN,First Gen Corp,,,,,,,,,,,,f,323f8c42-4706-4eab-bebb-353d7f4d84ef,
FIRST PACIFIC CORPORATION,142,First Pacific Co Ltd,,,,,,,,,,,,f,a647c194-e9a9-4a9f-bf95-7f58873970e2,
FIRST PHILIPPINE HLDGS,FPH,First Philippine Holdings Corp,,,,,,,,,,,,f,97ab5840-d444-41c1-91c6-4288deb92b42,
FLEX LNG,FLNG,Flex LNG Ltd,,,,,,,,,,,,f,2abeb7e6-becc-432b-8967-f01e96b9ae9b,
FLOTEK INDUSTRIES,FTK,Flotek Industries Inc,,,,,,,,,,,,f,8d8d55ba-e927-4a9b-aba4-36d5a598ff2e,
FLUXYS BELGIUM,FLUX,Fluxys Belgium SA,,,,,,,,,,,,f,db875c67-a9e6-4db3-a76a-80b54ae28ceb,
FORAN ENERGY GROUP,2911,佛燃能源集团股份有限公司,,,,,,,,,,,,f,58d802f1-3df4-42ac-8fc0-b7ebeb66ff61,
FORMOSA CHEMICALS & FIBRE,1326,台灣化學纖維股份有限公司,,,,,,,,,,,,f,ef24952e-f16d-4f0f-8816-714aef2957d9,
FORMOSA PETROCHEMICAL,6505,台塑石化股份有限公司,,,,,,,,,,,,f,281ebf0e-27a6-404d-99e5-1f47b8ebbf7d,
FORMOSA PLASTICS,1301,台灣塑膠工業股份有限公司,,,,,,,,,,,,f,db7fdae3-a4b4-431c-ad19-c5ab97da8eb8,
FORTIS,FTS,Fortis Inc,,,,,,,,,,,,f,0ab98472-75e7-4837-9a28-0d6684a594f5,
FORUM ENERGY TECHNOLOGIES,FET,Forum Energy Technologies Inc,,,,,,,,,,,,f,aef11553-f78d-4e32-9ca8-57c89c0fe481,
FREEHOLD ROYALTIES,FRU,Freehold Royalties Ltd,,,,,,,,,,,,f,5f46fece-7b77-4f4c-97d5-76cc8c5e5552,
FRONTERA ENERGY,FEC,Frontera Energy Corp,,,,,,,,,,,,f,acb2c16c-92ce-43fe-99bd-098eee98c10d,
FRONTLINE,FRO,Frontline Plc,,,,,,,,,,,,f,216f048e-586b-4121-b469-7dddbd19b3b5,
FUGRO,FUR,Fugro NV,,,,,,,,,,,,f,dab1f009-a63e-4431-a608-0e0b36d01ff9,
FUJI KOSAN,5009,富士興産株式会社,,,,,,,,,,,,f,1a751949-6b58-4ce5-b53d-5a49683e6bb8,
FUJI OIL CORPORATION,5017,富士石油株式会社,,,,,,,,,,,,f,77409af9-1dfa-46b0-be0b-596184b9d40e,
GAIL (INDIA),532155,GAIL (India) Ltd,,,,,,,,,,,,f,961caa25-31a8-4fe7-9177-d92badb78bd9,
GALP ENERGIA SGPS,GALP,Galp Energia SGPS SA,,,,,,,,,,,,f,c4710713-5109-4231-bd27-75df1a2eb2f8,
GAZPROM,GAZP,ПАО Газпром,,,,,,,,,,,,f,18b8923d-a395-4a9f-a53f-447242f62735,
GAZPROM NEFT,SIBN,ОАО Газпром нефть,,,,,,,,,,,,f,ee1dd8cc-2bdc-437f-a5fa-b3a78fb97c87,
GAZTRANSPORT ET TECHNIGAZ,GTT,Gaztransport et technigaz SA,,,,,,,,,,,,f,ee8ad84c-0160-45ce-8945-b989c41164e9,
GCL ENERGY TECHNOLOGY,2015,协鑫能源科技股份有限公司,,,,,,,,,,,,f,0adfad47-c0bc-4006-bbfb-d2aea6211fc3,
GD POWER DEV CORPORATION,600795,国电电力发展股份有限公司,,,,,,,,,,,,f,83dc5f54-6d9f-452f-8483-010eb0c1897a,
GEAR ENERGY,GXE,Gear Energy Ltd,,,,,,,,,,,,f,6123bfd0-8d4c-4a8a-bf2f-349e9c3383f2,
GEK TERNA HOLDING,GEKTERNA,"ΓΕΚ ΤΕΡΝΑ Α.Ε. ΣΥΜΜΕΤΟΧΩΝ, ΑΚΙΝΗΤΩΝ, ΚΑΤΑΣΚΕΥΩΝ",,,,,,,,,,,,f,b63e5221-a906-4f33-b174-1cf042c19529,
GENEL ENERGY,GENL,Genel Energy PLC,,,,,,,,,,,,f,a02d6a05-8b24-44a5-9e3a-409b394168fa,
GENERAL ELECTRIC,GE,General Electric Co,,,,,,,,,,,,f,bc839d21-d39e-4eed-80c1-2c29d494708f,
GENESIS ENERGY,GEL,Genesis Energy LP,,,,,,,,,,,,f,83cbae92-1f3d-4a9c-b694-0e4dad7f82c6,
GEOPARK,GPRK,GeoPark Ltd,,,,,,,,,,,,f,bbcd1015-8ed9-4851-9826-8762b3b3a36b,
GEOSPACE TECHNOLOGIES,GEOS,Geospace Technologies Corp,,,,,,,,,,,,f,c5467a1c-64cd-4490-a9e4-ee57108cfe15,
GIBSON ENERGY,GEI,Gibson Energy Inc,,,,,,,,,,,,f,b1c9b0fd-d393-4e3a-86d4-b1394c16b886,
GLENCORE,GLEN,Glencore PLC,,,,,,,,,,,,f,e23cdd38-a783-4ddc-a4b3-a6c95daf0258,
GLOBAL PARTNERS,GLP,Global Partners LP,,,,,,,,,,,,f,bea42590-8c5c-4e9e-8230-2fb939cc7a7d,
GOLAR LNG,GLNG,Golar LNG Ltd,,,,,,,,,,,,f,f61584be-69af-4548-a3cd-c1614674fa6a,
GOLAR LNG PARTNERS,GMLP,Golar LNG Partners LP,,,,,,,,,,,,f,80bdc650-ce78-48d9-bab3-f1ef33e02141,
GRAN TIERRA ENERGY,GTE,Gran Tierra Energy Inc,,,,,,,,,,,,f,053d5340-3a06-4097-86c9-7d4683bc25e8,
GRANITE RIDGE RESOURCES,GRNT,Granite Ridge Resources Inc,,,,,,,,,,,,f,e7c2921e-e294-4e74-8087-4cb050b3ebde,
GREENFIRE RESOURCES,GFR,Greenfire Resources Ltd,,,,,,,,,,,,f,f6cc1eec-d172-4372-acea-a9190651aea4,
GRUPO CARSO,GCARSOA1,Grupo Carso SAB de CV,,,,,,,,,,,,f,67a73fac-88c0-4171-85bc-d8e5ee8644f8,
GS HOLDINGS,78930,(주)GS,,,,,,,,,,,,f,afa9cd14-f537-4e51-855f-3f9c6151cbc5,
GT CAPITAL HOLDINGS,GTCAP,GT Capital Holdings Inc,,,,,,,,,,,,f,5ab5d253-f62f-4200-84ad-56c8f2896a7c,
GUANGDONG ELECTRIC POWER,539,广东电力发展股份有限公司,,,,,,,,,,,,f,8adecfa2-62a6-4ddd-b94a-dab6bcb085e8,
GUANGHUI ENERGY,600256,广汇能源股份有限公司,,,,,,,,,,,,f,28279949-0d56-4271-9179-3456eaca2a6c,
GUANGZHOU DEVELOPMENT GR,600098,广州发展集团股份有限公司,,,,,,,,,,,,f,f141a98e-0511-4bc0-9237-5690bb7e9ebf,
GUANGZHOU HENGYUN,531,广州恒运企业集团股份有限公司,,,,,,,,,,,,f,c466cc8c-255c-443c-a024-912c0b3b2744,
GUJARAT STATE PETRONET,532702,Gujarat State Petronet Ltd,,,,,,,,,,,,f,00d9e325-ad6c-4d7e-b2b4-e1f67038ebdb,
GULF COAST ULTRA DEEP,GULTU,Gulf Coast Ultra Deep Royalty Trust,,,,,,,,,,,,f,28eadeb7-a0ac-4e83-a473-17728bde0fd6,
GULF ENERGY DEVELOPMENT,GULF,บริษัท กัลฟ์ เอ็นเนอร์จี ดีเวลลอปเมนท์ จำกัด (มหาชน),,,,,,,,,,,,f,7d6797f1-367c-4e9f-8fc9-0a2eaa16d815,
GULF KEYSTONE PETROLEUM,GKP,Gulf Keystone Petroleum Ltd,,,,,,,,,,,,f,6290fed3-4153-4378-820f-04c7325b3f20,
GULF MARINE SERVICES,GMS,Gulf Marine Services PLC,,,,,,,,,,,,f,d75e1ef5-9f94-4adf-831d-51a32601dc99,
GULFPORT ENERGY,GPOR,Gulfport Energy Corp,,,,,,,,,,,,f,24ec736c-cdd7-4046-9efb-b20d9d46c7a6,
HALLIBURTON,HAL,Halliburton Co,,,,,,,,,,,,f,6301d545-d94d-485d-8a68-83eeadceebf3,
HAN KOOK SHELL OIL,2960,한국쉘석유(주),,,,,,,,,,,,f,3a5ec697-dab7-45b0-b45e-364021b5228b,
HANWHA,880,(주)한화,,,,,,,,,,,,f,a7cce4d1-a36c-485d-8d18-fbf9c76708d3,
HARBOUR ENERGY,HBR,Harbour Energy PLC,,,,,,,,,,,,f,abdc084f-969e-428c-b7fc-07a710035210,
HD HYUNDAI,267250,에이치디현대(주),,,,,,,,,,,,f,15c4921c-621d-4a98-b5c6-67c80d72e738,
HDC HLDGS,12630,에이치디씨(주),,,,,,,,,,,,f,d6d57406-814d-48f5-8b5f-b6e1e9abadad,
HEADWATER EXPLORATION,HWX,Headwater Exploration Inc,,,,,,,,,,,,f,5f7b0deb-5535-474a-ae93-ee1b1e769193,
HELIOS ENERGY,HE8,Helios Energy Ltd,,,,,,,,,,,,f,d63b9fde-801b-4227-8537-390e9ca7a495,
HELIX ENERGY SOLNS GR,HLX,Helix Energy Solutions Group Inc,,,,,,,,,,,,f,2605587a-a215-455e-be29-a993d76fc0bc,
HELLENIQ ENERGY HLDGS,ELPE,HELLENiQ ENERGY Ανώνυμη Εταιρεία Συμμετοχών,,,,,,,,,,,,f,a6071f6d-2931-444e-a650-fac2a8814754,
HELMERICH & PAYNE,HP,Helmerich & Payne Inc,,,,,,,,,,,,f,7b5590b4-1129-4551-96d7-82b2e82efd8e,
HEMISPHERE ENERGY,HME,Hemisphere Energy Corp,,,,,,,,,,,,f,5124d98f-24fe-4372-b9de-f069a300fb7f,
HENGYUAN REFINING CORPORATION,4324,Hengyuan Refining Co Bhd,,,,,,,,,,,,f,7be262ec-90cf-424c-b4cb-01ecfd2795ef,
HESS,HES,Hess Corp,,,,,,,,,,,,f,5f489113-6310-471c-ab1f-fe263132e70b,
HESS MIDSTREAM,HESM,Hess Midstream LP,,,,,,,,,,,,f,1e890264-44ce-4b32-a3f8-bbdb1e5542f0,
HF SINCLAIR,DINO,HF Sinclair Corp,,,,,,,,,,,,f,38e50109-75df-45a5-827d-e306cc6397ec,
HIBISCUS PETROLEUM,5199,Hibiscus Petroleum Bhd,,,,,,,,,,,,f,25a09bed-4e7a-4eb0-82ca-3d8f5f6aa40d,
HIGH ARCTIC ENERGY SERVS,HWO,High Arctic Energy Services Inc,,,,,,,,,,,,f,74974181-a73e-4b0e-b12c-8ea4e93a5f06,
HIGHPEAK ENERGY,HPK,HighPeak Energy Inc,,,,,,,,,,,,f,763c987e-ff30-4371-8fcb-ce5964189b05,
HILONG HOLDING,1623,海隆控股有限公司,,,,,,,,,,,,f,1151a473-cf8e-4421-8c21-cf687ca87ca9,
HINDUSTAN OIL EXPLORATION,500186,Hindustan Oil Exploration Co Ltd,,,,,,,,,,,,f,e1c89fff-41bc-44df-b8ea-77bd245953b7,
HINDUSTAN PETROLEUM CORPORATION,HINDPETRO,Hindustan Petroleum Corp Ltd,,,,,,,,,,,,f,08eac838-5cdc-4a56-81f4-d9e8b9b3cc2a,
HIROSHIMA GAS,9535,広島ガス株式会社,,,,,,,,,,,,f,a831b41f-6fd2-4c85-85f3-8c5921bb5aff,
HK ELECTRIC INV,2638,港燈電力投資 與 港燈電力投資有限公司,,,,,,,,,,,,f,899a9446-3b36-483d-a420-b342631fd2f9,
HONGHUA GROUP,196,宏华集团有限公司,,,,,,,,,,,,f,06d65414-9003-4dc4-8033-dabf8eefc40a,
HORIZON OIL,HZN,Horizon Oil Ltd,,,,,,,,,,,,f,90b0102b-6a63-49c2-9ddb-ddf54502ef4a,
HOUPU CLEAN ENERGY GROUP,300471,厚普清洁能源(集团)股份有限公司,,,,,,,,,,,,f,7a0da68c-0237-4955-8ef6-61c4198f53e8,
HOUSTON AMERICAN ENERGY,HUSA,Houston American Energy Corp,,,,,,,,,,,,f,600005fc-4792-48e2-9d71-4922765b8f92,
HUADIAN POWER INTL CORPORATION,600027,华电国际电力股份有限公司,,,,,,,,,,,,f,fe903446-0a1d-41bc-b79f-62926e7e4c0a,
HUANENG POWER INTL,600011,华能国际电力股份有限公司,,,,,,,,,,,,f,8e5eadc7-8390-4639-9181-4486321e69d0,
HUNTER GROUP,HUNT,Hunter Group ASA,,,,,,,,,,,,f,f27c277f-6674-478d-ac3c-615ede96d8d7,
HUNTING,HTG,Hunting PLC,,,,,,,,,,,,f,0b0b518a-5144-46f6-9d04-84ec5037982a,
HY ENERGY GR,600387,海越能源集团股份有限公司,,,,,,,,,,,,f,5275c8e1-bc23-4bb5-8192-0c06dde6ea16,
HYUNDAI ENGINEERING,720,현대건설(주),,,,,,,,,,,,f,af1afbc0-1994-4b87-8e35-4fea7e146262,
HYUNDAI MOTOR,5380,현대자동차(주),,,,,,,,,,,,f,a639edaa-c672-4343-ac88-2bb32babd6c6,
I3 ENERGY,I3E,i3 Energy PLC,,,,,,,,,,,,f,c9a627df-10b6-4728-990c-a0c4070fc8ce,
ICAHN ENTERPRISES,IEP,Icahn Enterprises LP,,,,,,,,,,,,f,fde13a80-7f82-482d-b414-56bd18a1b20b,
IDACORP,IDA,Idacorp Inc,,,,,,,,,,,,f,e37d49ec-d7ba-476f-bbf2-9cc98bdd4750,
IDEMITSU KOSAN,5019,出光興産株式会社,,,,,,,,,,,,f,dea7e982-a498-4028-a518-9d9bb18effef,
IMPERIAL OIL,IMO,Imperial Oil Ltd,,,,,,,,,,,,f,f6a9c1ce-44ce-4f70-b27f-a4ea513dce11,
IMPERIAL PTRL,IMPP,Imperial Petroleum Inc,,,,,,,,,,,,f,dee2c355-e708-4a67-9461-b38e1cdc1aec,
INDEPENDENCE CONTRACT,ICD,Independence Contract Drilling Inc,,,,,,,,,,,,f,d0c88fa3-784a-4d10-ad4b-7f0c5874edda,
INDIAN OIL CORPORATION,IOC,Indian Oil Corp Ltd,,,,,,,,,,,,f,0cec2e1c-1878-4114-b1dd-37f649949492,
INPEX,1605,国際石油開発帝石株式会社,,,,,,,,,,,,f,98e292e1-84a9-48a9-9af0-23b7cf988475,
INPLAY OIL,IPO,InPlay Oil Corp,,,,,,,,,,,,f,01b2124d-e355-46fb-bbb6-9199fa67061e,
INTERNATIONAL PTRL,IPCO,International Petroleum Corp,,,,,,,,,,,,f,0b806aef-d171-4438-b91c-2e567d53357a,
INTERNATIONAL SEAWAYS,INSW,International Seaways Inc,,,,,,,,,,,,f,be8c884c-77c2-40ac-9fb2-b2c70b8f14bc,
INVICTUS ENERGY,IVZ,Invictus Energy Ltd,,,,,,,,,,,,f,eb2457b1-fae9-4560-ad42-9c7f9840acef,
IREN,IRE,Iren SpA,,,,,,,,,,,,f,51f03ba6-bc1c-4659-87df-30f64285f48e,
IRPC,IRPC,บริษัท ไออาร์พีซี จำกัด (มหาชน),,,,,,,,,,,,f,0634b485-8324-4fe5-8096-15686ddd78f2,
ISRAMCO NEGEV 2 LIMITED PARTNERSHIP,ISRA,ישראמקו נגב 2 שותפות מוגבלת,,,,,,,,,,,,f,aefae53e-d4dc-44c3-b17e-a5d3c9e407d8,
ITHACA ENERGY,ITH,Ithaca Energy PLC,,,,,,,,,,,,f,3bcb3fcb-b40e-40fa-81f5-a5188ef2cd3e,
ITOCHU,8001,伊藤忠商事株式会社,,,,,,,,,,,,f,6f4a096f-8189-4c7e-952e-a490a177e182,
ITOCHU ENEX CORPORATION,8133,伊藤忠エネクス株式会社,,,,,,,,,,,,f,d3602124-7c3e-4ac6-ab2f-de0b77ebdde1,
JADESTONE ENERGY,JSE,Jadestone Energy PLC,,,,,,,,,,,,f,b36719f1-d1ac-482b-aded-4815c4a3b905,
JAMUNA OIL CORPORATION,JAMUNAOIL,Jamuna Oil Co Ltd,,,,,,,,,,,,f,5ff609fb-06bb-425c-811f-b374be296712,
JAPAN PETROLEUM,1662,石油資源開発株式会社,,,,,,,,,,,,f,3912fab3-f5dd-4c15-a943-9ced117d4c57,
JG SUMMIT HOLDINGS,JGS,JG Summit Holdings Inc,,,,,,,,,,,,f,a5bb1253-3a80-4396-9180-1fdeca9fb61b,
JIANGSU GUOXIN,2608,江苏国信股份有限公司,,,,,,,,,,,,f,06125822-233d-4e42-aa19-ebabf7460f86,
JIANGSU LOPAL TECH CORPORATION,603906,江苏龙蟠科技股份有限公司,,,,,,,,,,,,f,b238f3d4-73d6-4f67-8d22-e24465b5d78c,
JIANGXI JOVO ENERGY CORPORATION,605090,江西九丰能源股份有限公司,,,,,,,,,,,,f,23a7e263-d7b6-4bea-a5d4-d145ce1d40cd,
JINDAL DRILLING & INDUS,511034,Jindal Drilling & Industries Ltd,,,,,,,,,,,,f,50906983-6d2c-4e1d-ad07-2127d2332442,
JOHN WOOD GROUP,WG.,John Wood Group Plc,,,,,,,,,,,,f,6688247e-d5cb-4897-bbd8-9ff02ef03ba2,
JORDAN PETROLEUM REFINERY,JOPT,Jordan Petroleum Refinery Co Ltd,,,,,,,,,,,,f,ec12ff6c-a193-4888-9665-0e6ed0d19f23,
JOURNEY ENERGY,JOY,Journey Energy Inc,,,,,,,,,,,,f,9ad7469d-1ec4-4379-bc52-9be2c36896e7,
JUTAL OFFSHORE OIL SERVS,3303,Jutal Offshore Oil Services Ltd,,,,,,,,,,,,f,1ec4ead4-f76b-4e20-a737-8ac1fb28a6fe,
KAMEI,8037,カメイ株式会社,,,,,,,,,,,,f,e3320ea1-3b46-4d36-a1f3-378043ed195f,
KAROON ENERGY,KAR,Karoon Energy Ltd,,,,,,,,,,,,f,1c3eb4eb-ace4-4963-b600-b749904ca4a0,
KAWASAN INDUSTRI JABABEKA,KIJA,PT Kawasan Industri Jababeka Tbk,,,,,,,,,,,,f,fd085d9b-7cbf-45e7-ab5f-95a67cc713da,
KELT EXPLORATION,KEL,Kelt Exploration Ltd,,,,,,,,,,,,f,088f010b-4861-44f8-b3e8-64508e08e6db,
KENON HLDGS,KEN,Kenon Holdings Ltd,,,,,,,,,,,,f,61218f25-52ee-42d7-99e8-d393b422fcc0,
KEPPEL,BN4,Keppel Ltd,,,,,,,,,,,,f,33cc6bbb-52ef-443c-89e1-95e2b58bba0b,
KEY ENERGY SERVS,KEGX,Key Energy Services Inc,,,,,,,,,,,,f,15475024-7348-4b1b-8663-6a23c11e1f8c,
KEYERA,KEY,Keyera Corp,,,,,,,,,,,,f,d10c8a07-2cb4-40ff-a941-55075dfc56e4,
KIMBELL ROYALTY PARTNERS,KRP,Kimbell Royalty Partners LP,,,,,,,,,,,,f,fcbcd717-d488-4bbd-92be-912572106164,
KINDER MORGAN,KMI,Kinder Morgan Inc,,,,,,,,,,,,f,0d6d21ed-c809-446d-950a-ab86b3849da7,
KINETIK HOLDINGS,KNTK,Kinetik Holdings Inc,,,,,,,,,,,,f,412e5d2f-3dd8-44ad-a164-b726e27b0b1e,
KIWETINOHK ENERGY,KEC,Kiwetinohk Energy Corp,,,,,,,,,,,,f,d08cced3-9a52-45c4-a35d-933b02935cab,
KKR & CORPORATION,KKR,KKR & Co Inc,,,,,,,,,,,,f,5a8fe5bd-e29c-445a-a0d2-8bd8df2c0c99,
KLX ENERGY SERVICES HLDGS,KLXE,KLX Energy Services Holdings Inc,,,,,,,,,,,,f,78bbb381-cee7-44e6-bf78-f1cd9048312d,
KN ENERGIES,KNE1L,KN Energies AB,,,,,,,,,,,,f,1875cfa2-22ff-4699-b236-f4c85f8f0a8f,
KODIAK GAS SERVICES,KGS,Kodiak Gas Services Inc,,,,,,,,,,,,f,dfb0f086-873a-47b3-a6f0-925bea61abb6,
KOGENERACJA,KGN,Kogeneracja S.A.,,,,,,,,,,,,f,57137b38-244a-465a-84bc-ef1cbfb8c252,
KOIL ENERGY SOLUTIONS,KLNG,Koil Energy Solutions Inc,,,,,,,,,,,,f,5d68e121-c72d-4881-8af8-b931cdf12ff7,
KOLIBRI GLOBAL ENERGY,KEI,Kolibri Global Energy Inc,,,,,,,,,,,,f,dbab7a57-12fb-425d-b036-5353a731a1a5,
KONINKLIJKE VOPAK,VPK,Koninklijke Vopak NV,,,,,,,,,,,,f,786de17c-6443-40c1-a86e-f34d5c732006,
KOREA ELECTRIC POWER,15760,한국전력공사(주),,,,,,,,,,,,f,3b598f8f-d2bf-4c9f-80b8-27f4c63a093b,
KOREA GAS,36460,한국가스공사(주),,,,,,,,,,,,f,bab5d817-ff3f-4453-b83a-b34adda83f21,
