company_name,stock_symbol,legal_name,address,city,state,zipcode,area_code,ABI,primary_SIC_code,SIC6_description,primary_NAICS_code,NAICS8_description,parent_company_ABI,classification,unique_id,parent_company_unique_id
ASCENT RESOURCES,AST,Ascent Resources PLC,,,,,,,,,,,,f,320e0c03-722c-4a98-980a-b7d023adf20b,
ASHDOD REFINERY,ARF,"בית זיקוק אשדוד בע""מ",,,,,,,,,,,,f,cfe8dee5-df1f-4bbe-af0d-0c8feec134ed,
ASHTEAD TECHNOLOGY HLDGS,AT.,Ashtead Technology Holdings PLC,,,,,,,,,,,,f,f400da51-a2c1-4a0e-b10e-3f0b5b7c7828,
ASIA CEMENT,1102,亞洲水泥股份有限公司,,,,,,,,,,,,f,aaaf2dea-492d-4ebc-9d6c-fac9923b0d54,
ATHABASCA OIL,ATH,Athabasca Oil Corp,,,,,,,,,,,,f,8d7a363a-4439-4d66-b5f8-582e868a1422,
ATLAS ENERGY SOLUTIONS,AESI,Atlas Energy Solutions Inc,,,,,,,,,,,,f,d85a1ca3-815b-4180-b554-b31fbe6e3b3e,
ATTOCK REFINERY,ATRL,Attock Refinery Ltd,,,,,,,,,,,,f,43f39a1f-185a-4c0d-81c9-f2961b5dec09,
AVANCE GAS HLDG,AGAS,Avance Gas Holding Ltd,,,,,,,,,,,,f,e11a9102-4706-43a9-a4f1-578a2fe96a9a,
AYALA,AC,Ayala Corp,,,,,,,,,,,,f,05910fde-fcdb-4a06-9cfb-22d5a0dfa88f,
B.GRIMM POWER,BGRIM,บริษัท บี.กริม เพาเวอร์ จำกัด (มหาชน),,,,,,,,,,,,f,a7c02cc9-95ed-4dfe-b78f-38ee47547a47,
BAKER HUGHES,BKR,Baker Hughes Co,,,,,,,,,,,,f,b566a47a-2f0c-4bd7-9b26-510d446acfb6,
BANCO BTG PACTUAL,BPAC3,Banco BTG Pactual S.A.,,,,,,,,,,,,f,c63a5995-22dc-4c58-8a40-adeef3f811b2,
BANGCHAK CORPORATION,BCP,บริษัท บางจาก คอร์ปอเรชั่น จำกัด (มหาชน),,,,,,,,,,,,f,9ff7c8af-c6ca-448c-baa7-048c4d3d2fb7,
BANGCHAK SRIRACHA,BSRC,Bangchak Sriracha PCL,,,,,,,,,,,,f,4f63994f-c0f5-4975-977d-70cffe5ee6b2,
BARNWELL INDUSTRIES,BRN,Barnwell Industries Inc,,,,,,,,,,,,f,1e541a03-9166-47af-ba45-80bfb719018b,
