Committee name,Registration number,Party,Office sought,District,Registration date,Termination date,Incumbent,Candidate,DistrictKey,OfficeKey
"Montemayor, Jane House Committee",18115,DFL,House,47B,2016-07-18 15:19:00.000,,0,"Montemayor, Jane",47B,House
"Marvin, Robert Senate Committee",18102,RPM,Senate,40,2016-06-30 14:00:00.000,,0,"Marvin, Robert",40,Senate
"Ali, Ali C Senate Committee",18099,DFL,Senate,55,2016-06-29 11:15:00.000,,0,"Ali, Ali C",55,Senate
"Lamas, Carolina A Dist Court Committee",18094,N/A,District Court,4-37,2016-06-22 10:51:00.000,,1,"Lamas, Carolina A",4-37,DC
"Diesslin, Elise House Committee",18091,DFL,House,20B,2016-06-17 14:07:00.000,,0,"Diesslin, Elise",20B,House
"Eichorn, Justin Senate Committee",18077,RPM,Senate,6,2016-06-15 16:27:00.000,,1,"Eichorn, Justin",6,Senate
"Englund, Ricky Senate Committee",18083,DFL,Senate,31,2016-06-13 12:49:00.000,,0,"Englund, Ricky",31,Senate
"Bahner, Kristin House Committee",18081,DFL,House,37B,2016-06-13 12:28:00.000,,1,"Bahner, Kristin",37B,House
"Gerten, Brad House Committee",18064,RPM,House,51A,2016-06-03 14:38:00.000,,0,"Gerten, Brad",51A,House
"Dornink, Gene Senate Committee",18058,RPM,Senate,23,2016-05-26 09:53:00.000,,1,"Dornink, Gene",23,Senate
"Hamlin, Sarah L House Committee",18037,DFL,House,30A,2016-05-02 10:25:00.000,,0,"Hamlin, Sarah L",30A,House
"Solo, Leah Senate Committee",18035,DFL,Senate,44,2016-04-29 15:16:00.000,,0,"Solo, Leah",44,Senate
"Pryor, Laurie House Committee",18031,DFL,House,49A,2016-04-28 09:53:00.000,,1,"Pryor, Laurie",49A,House
"Westlin, Bonnie S Senate Committee",18021,DFL,Senate,42,2016-04-25 13:45:00.000,,1,"Westlin, Bonnie S",42,Senate
"Koegel, Erin House Committee",18020,DFL,House,39A,2016-04-25 09:31:00.000,,1,"Koegel, Erin",39A,House
"Kantrud, (Hugh) Alan House Committee",18018,DFL,House,39B,2016-04-22 14:38:00.000,,0,"Kantrud, (Hugh) Alan",39B,House
"Johnson, Mark Timothy Senate Committee",18011,RPM,Senate,1,2016-04-18 10:21:00.000,,1,"Johnson, Mark Timothy",1,Senate
"Brown, Chilah Senate Committee",18010,DFL,Senate,15,2016-04-14 09:08:00.000,,0,"Brown, Chilah",15,Senate
"Fontaine, Kip O'dean Senate Committee",18007,DFL,Senate,1,2016-04-13 13:58:00.000,,0,"Fontaine, Kip O'dean",1,Senate
"Rymer, Maxwell (Max) House Committee",18005,RPM,House,49B,2016-04-12 08:51:00.000,,0,"Rymer, Maxwell (Max)",49B,House
"Haakenson, Cecilia (Ceci) House Committee",18003,DFL,House,55B,2016-04-12 08:41:00.000,,0,"Haakenson, Cecilia (Ceci)",55B,House
"Utke, Paul J Senate Committee",18001,RPM,Senate,5,2016-04-08 09:04:00.000,,1,"Utke, Paul J",5,Senate
"Franke, Keith J House Committee",17996,RPM,House,54A,2016-04-05 08:15:00.000,,0,"Franke, Keith J",54A,House
