Committee name,Registration number,Party,Office sought,District,Registration date,Termination date,Incumbent,Candidate,DistrictKey,OfficeKey
"Mack, Tara House Committee",16649,RPM,House,57A,2007-10-29 15:39:00.000,,0,"Mack, Tara",57A,House
"Satnan, Gary House Committee",16604,IPMN,House,50A,2006-08-24 14:11:00.000,,0,"Satnan, Gary",50A,House
"Latz, Ronald S Senate Committee",16553,DFL,Senate,46,2006-07-26 16:32:00.000,,1,"Latz, Ronald S",46,Senate
"Carlson, James A Senate Committee",16246,DFL,Senate,52,2005-03-21 13:49:00.000,,1,"Carlson, James A",52,Senate
"Hansen, Richard (Rick) J House Committee",16189,DFL,House,53B,2004-07-29 14:54:00.000,,1,"Hansen, Richard (Rick) J",53B,House
"Lillie, Leon House Committee",16132,DFL,House,44B,2004-06-14 15:32:00.000,,1,"Lillie, Leon",44B,House
"Hosch, Lawrence J House Committee",16128,DFL,House,14B,2004-06-11 14:18:00.000,,0,"Hosch, Lawrence J",14B,House
"Hamilton, Rod House Committee",16121,RPM,House,22B,2004-06-04 15:36:00.000,,0,"Hamilton, Rod",22B,House
"Garofalo, Patrick House Committee",16072,RPM,House,58B,2004-04-07 13:22:00.000,,1,"Garofalo, Patrick",58B,House
"Eder, Dorian House Committee",15987,DFL,House,59A,2003-08-12 09:27:00.000,,0,"Eder, Dorian",59A,House
"Hoppe, Joe House Committee",15833,RPM,House,47B,2002-07-15 11:25:00.000,,0,"Hoppe, Joe",47B,House
"Liebling, Tina House Committee",15719,DFL,House,24B,2002-05-06 08:35:00.000,,1,"Liebling, Tina",24B,House
"Hortman, Melissa A House Committee",15677,DFL,House,34B,2002-04-17 15:31:00.000,,1,"Hortman, Melissa A",34B,House
"Hornstein, Frank House Committee",15671,DFL,House,61A,2002-04-17 14:01:00.000,,1,"Hornstein, Frank",61A,House
"Dibble, D Scott Senate Committee",15667,DFL,Senate,61,2002-04-08 10:25:00.000,,1,"Dibble, D Scott",61,Senate
"Nelson, Michael V House Committee",15548,DFL,House,38A,2002-02-04 16:17:00.000,,1,"Nelson, Michael V",38A,House
"Lesch, John House Committee",15487,DFL,House,66B,2001-10-12 00:00:00.000,,0,"Lesch, John",66B,House
"Clark, Tarryl Senate Committee",15286,DFL,Senate,14,2000-05-23 12:50:00.000,,0,"Clark, Tarryl",14,Senate
"Rest, Ann H Senate Committee",15163,DFL,Senate,43,1999-12-10 13:45:00.000,,1,"Rest, Ann H",43,Senate
"Nienow, Sean Senate Committee",15123,RPM,Senate,32,1999-08-25 14:36:00.000,,0,"Nienow, Sean",32,Senate
"Masin, Sandra A House Committee",14857,DFL,House,52A,1997-11-26 10:57:00.000,,0,"Masin, Sandra A",52A,House
"Juhnke, Alan R House Committee",13508,DFL,House,13B,1996-05-13 09:10:00.000,,0,"Juhnke, Alan R",13B,House
"Mullery, Joe House Committee",13481,DFL,House,59A,1996-04-18 08:25:00.000,,0,"Mullery, Joe",59A,House
"Wiger, Charles (Chuck) W Senate Committee",13350,DFL,Senate,43,1995-09-28 12:57:00.000,,0,"Wiger, Charles (Chuck) W",43,Senate
"Limmer, Warren Senate Committee",13262,RPM,Senate,37,1994-12-05 12:55:00.000,,1,"Limmer, Warren",37,Senate
"Urdahl, Dean L House Committee",12790,RPM,House,16A,1992-06-29 00:00:00.000,,1,"Urdahl, Dean L",16A,House
"Hackbarth, Thomas M House Committee",12682,RPM,House,31B,1992-03-30 00:00:00.000,,0,"Hackbarth, Thomas M",31B,House
"Davids, Gregory M House Committee",12604,RPM,House,26B,1990-12-27 00:00:00.000,,1,"Davids, Gregory M",26B,House
"Mariani, Carlos House Committee",12353,DFL,House,65B,1990-01-22 00:00:00.000,,0,"Mariani, Carlos",65B,House
"Pappas, Sandra L Senate Committee",12339,DFL,Senate,65,1989-12-20 00:00:00.000,,1,"Pappas, Sandra L",65,Senate
"Erhardt, Ronnie (Ron) P House Committee",12328,DFL,House,50A,1989-11-13 00:00:00.000,,0,"Erhardt, Ronnie (Ron) P",50A,House
"Hausman, Alice House Committee",12313,DFL,House,66A,1989-06-16 00:00:00.000,,0,"Hausman, Alice",66A,House
"Marty, John J Senate Committee",11880,DFL,Senate,40,1986-02-15 00:00:00.000,,1,"Marty, John J",40,Senate
"Cohen, Richard J Senate Committee",11829,DFL,Senate,64,1985-07-08 00:00:00.000,,0,"Cohen, Richard J",64,Senate
"Pelowski Jr, Gene P House Committee",11763,DFL,House,26A,1984-08-03 00:00:00.000,,1,"Pelowski Jr, Gene P",26A,House
"Kahn, Phyllis House Committee",10054,DFL,House,60B,1982-08-12 00:00:00.000,,0,"Kahn, Phyllis",60B,House
"Murphy, Mary C House Committee",10601,DFL,House,3B,1976-07-28 00:00:00.000,,0,"Murphy, Mary C",3B,House
