COMPANY,ADDRESS LINE 1,CITY,STATE,ZIPCODE,AREA CODE,PRIMARY SIC CODE,SIC6_DESCRIPTIONS (SIC),initial classification
AIR MAX HEATING AIR COND,4395 MOUNTVILLE HOGANSVILLE RD,HOGANSVILLE,GA,30230.0,678,762309,GAS LINE INSTALLATION & REPAIR,f
AMPM,2245 E FLORENCE BLVD,CASA GRANDE,AZ,85122.0,520,541103,SERVICE STATIONS-GASOLINE & OIL,f
QUIKTRIP,3747 LAWRENCEVILLE HWY,LAWRENCEVILLE,GA,30044.0,770,541103,SERVICE STATIONS-GASOLINE & OIL,f
JIFFY LUBE,8971 WARNER AVE,HUNTINGTON BEACH,CA,92647.0,714,754903,OIL & GAS SERVICES,f
RUTHERFORD EQUIPMENT INC,1981 GEES MILL RD NE,CONYERS,GA,30013.0,770,517207,PROPANE GAS EQUIPMENT (WHLS),f
CIRCLE M FOOD SHOP,2310 OLD CORNELIA HWY,GAINESVILLE,GA,30507.0,770,541103,SERVICE STATIONS-GASOLINE & OIL,f
FARWEST PUMP CO,3230 W EL CAMINO DEL CERRO,TUCSON,AZ,85745.0,520,178107,GAS WELL SERVICING,f
LA 1 SOUTH TRUCK STOP,3195 HWY 1 S,PORT ALLEN,LA,70767.0,225,541103,SERVICE STATIONS-GASOLINE & OIL,f
DYNAMIC INDUSTRIES INC,5007 PORT RD,NEW IBERIA,LA,70560.0,337,162301,OIL FIELD SERVICE,f
TIRES PLUS TOTAL CAR CARE,4681 GA HIGHWAY 40 E,ST MARYS,GA,31558.0,754,553123,OIL & GAS SERVICES,f
PETERSON OILS,911 N MAIN ST,MOULTRIE,GA,31768.0,229,517201,OILS-PETROLEUM-RETAIL,f
CHEVRON,703 KILCREASE RD,AUBURN,GA,30011.0,770,554101,ALTERNATIVE FUELS,f
QUIKTRIP,105 OLD ALLATOONA RD SE,EMERSON,GA,30121.0,678,541103,SERVICE STATIONS-GASOLINE & OIL,f
CIRCLE K,4256 WASHINGTON RD,EVANS,GA,30809.0,706,541103,SERVICE STATIONS-GASOLINE & OIL,f
ENMARKET,3100 LANES BRIDGE RD,JESUP,GA,31545.0,912,541103,SERVICE STATIONS-GASOLINE & OIL,f
MURPHY USA,1210 W OAK ST,AMITE,LA,70422.0,985,541103,SERVICE STATIONS-GASOLINE & OIL,f
WEST DIRECT OIL,4850 N HAYFIELD DRAW RD,CAMP VERDE,AZ,86322.0,928,598304,OIL & GAS PRODUCERS,f
FILTERMAG,7440 E KAREN DR # 400,SCOTTSDALE,AZ,85260.0,480,873436,OIL REFINERS (MFRS),f
FREEWAY TEXACO,1203 W REX ALLEN DR,WILLCOX,AZ,85643.0,520,554101,ALTERNATIVE FUELS,f
COXCO FUEL,5960 N ORACLE RD,TUCSON,AZ,85704.0,520,541103,OILS-FUEL (WHLS),f
AIRGAS STORE,2205 HIGHWAY 90 E,NEW IBERIA,LA,70560.0,337,517205,GASES-INDUSTRIAL & MEDICAL (MFRS),f
AIR LIQUIDE,8700 E OLD VAIL RD,TUCSON,AZ,85747.0,520,517205,GAS-IND & MEDICAL-CYLINDER & BULK-MFRS,f
QUIKTRIP,2841 TURNER HILL RD,LITHONIA,GA,30038.0,770,541103,SERVICE STATIONS-GASOLINE & OIL,f
QUIKTRIP,7522 W DEER VALLEY RD,PEORIA,AZ,85382.0,623,541103,SERVICE STATIONS-GASOLINE & OIL,f
PAR MAR STORES,1042 MIDLAND TRL,SMITHERS,WV,25186.0,304,541103,SERVICE STATIONS-GASOLINE & OIL,f
SUTTON ENTERPRISES,212 TEXAS ST # 117,SHREVEPORT,LA,71101.0,318,131103,OIL & GAS EXPLORATION & DEVELOPMENT,f
DUKE ENERGY,500 N CLUB DR,PAYSON,AZ,85541.0,928,491101,OIL FIELD SERVICE,f
MAVERIK ADVENTURE'S FIRST STOP,3480 E ANDY DEVINE AVE,KINGMAN,AZ,86401.0,928,541103,SERVICE STATIONS-GASOLINE & OIL,f
MAVERIK ADVENTURE'S FIRST STOP,2110 N PARK DR,WINSLOW,AZ,86047.0,928,541103,SERVICE STATIONS-GASOLINE & OIL,f
KWIK TRIP,2256 OBRIE ST,ZWOLLE,LA,71486.0,318,541103,SERVICE STATIONS-GASOLINE & OIL,f
CIRCLE K,51 E VAN BUREN ST,AVONDALE,AZ,85323.0,623,541103,SERVICE STATIONS-GASOLINE & OIL,f
ALL AMERICAN USED OIL LLC,360 FERROW CROSSING RD,WHITE OAK,GA,31568.0,912,138999,OILS FUEL MFRS,f
CIRCLE K,1337 VIRGINIA AVE,EAST POINT,GA,30344.0,404,541103,SERVICE STATIONS-GASOLINE & OIL,f
CIRCLE K,2515 W GLENDALE AVE,PHOENIX,AZ,85051.0,602,541103,SERVICE STATIONS-GASOLINE & OIL,f
BROWN & COX INC,44 OXFORD WEST DR,OXFORD,GA,30054.0,770,178101,OIL WELL DRILLING,f
GULF STREAM SVC INC,103 DICKSON RD,HOUMA,LA,70363.0,985,899999,OIL WELL EQUIPMENT & SUPPLIES-RENTING,f
CARDINAL GAS N LA,508 MINDEN ST,RUSTON,LA,71270.0,318,492501,GAS-NATURAL,f
