Company,Symbol,Legal name
GVK Power & Infra,532708,GVK Power & Infrastructure Ltd
Hallador Energy,HNRG,Hallador Energy Co
Hangzhou Cogeneration,605011,杭州热电集团股份有限公司
Harbin Electric Co,1133,哈尔滨电气股份有限公司
Harbin Hatou Inv Co,600864,哈尔滨哈投投资股份有限公司
Harum Energy,HRUM,PT Harum Energy Tbk
Henan Jinma Energy Co,6885,河南金马能源股份有限公司
Henan Shenhuo Coal,933,河南神火煤电股份有限公司
Henan Yuneng Hodings,1896,河南豫能控股股份有限公司
Hindalco Industries,HINDALCO,Hindalco Industries Ltd
Hokkaido Electric Power,9509,北海道電力株式会社
Hokuriku Electric Power,9505,北陸電力株式会社
Huadian Power Intl Corp,600027,华电国际电力股份有限公司
Huaibei Mining Hldgs Co,600985,淮北矿业控股股份有限公司
Huaihe Energy (Group),600575,淮河能源(集团)股份有限公司
Huaneng Power Intl,600011,华能国际电力股份有限公司
Hub Power Co,HUBC,Hub Power Co Ltd
Hubei Energy Group,883,湖北能源集团股份有限公司
Hubei Yihua Chemical,422,湖北宜化化工股份有限公司
Idacorp,IDA,Idacorp Inc
Idemitsu Kosan,5019,出光興産株式会社
Indika Energy,INDY,PT Indika Energy Tbk
Indo Tambangraya Megah,ITMG,PT Indo Tambangraya Megah Tbk
Inner Mongolia Dian Tou,2128,内蒙古霍林河露天煤业股份有限公司
Inner Mongolia ERDOS,600295,内蒙古鄂尔多斯资源股份有限公司
Inner Mongolia Junzheng,601216,内蒙古君正能源化工集团股份有限公司
Inner Mongolia Mengdian,600863,内蒙古蒙电华能热电股份有限公司
Inner Mongolia Yitai Coal,900948,内蒙古伊泰煤炭股份有限公司
Inter RAO UES,IRAO,ПАО Интер РАО ЕЭС
Italian-Thai Development,ITD,บริษัท อิตาเลียนไทย ดีเวล๊อปเมนต์ จำกัด (มหาชน)
Jaiprakash Power Ventures,532627,Jaiprakash Power Ventures Ltd
Jardine Cycle & Carriage,C07,Jardine Cycle & Carriage Ltd
Jardine Matheson Hldgs,J36,Jardine Matheson Holdings Ltd
Jastrzebska Spolka,JSW,Jastrzebska Spolka Weglowa SA
Jiangsu Guoxin,2608,江苏国信股份有限公司
Jiangsu Xukuang Energy,600925,江苏徐矿能源股份有限公司
Jiangxi Ganneng,899,江西赣能股份有限公司
Jilin Electric Power Co,875,吉林电力股份有限公司
Jindal Steel & Power,532286,Jindal Steel & Power Ltd
Jinneng Holding Shanxi,601001,晋能控股山西煤业股份有限公司
Jinneng Holding Shanxi,767,晋能控股山西电力股份有限公司
Jizhong Energy Res Co,937,冀中能源股份有限公司
JSW Energy,JSWENERGY,JSW Energy Ltd
JSW Steel,500228,JSW Steel Ltd
Kailuan Energy Chemical,600997,开滦能源化工股份有限公司
Kansai Electric Power,9503,関西電力株式会社
Kinetic Dev Gr,1277,力量发展集团有限公司
Korea Electric Power,15760,한국전력공사(주)
Kyungdong Invest Co,12320,(주)경동인베스트
Kyushu Electric Power Co,9508,九州電力株式会社
Lanhua Sci-Tech Venture,600123,山西兰花科技创业股份有限公司
Lanna Resources,LANNA,บริษัท ลานนารีซอร์สเซส จำกัด (มหาชน)
Luenmei Quantum Co,600167,联美量子股份有限公司
LW Bogdanka,LWB,LW Bogdanka S.A.
LX Intl,1120,(주)LG상사
Magnitogorsk Iron & Steel,MAGN,Публичное акционерное общество Магнитогорский металлургический комбинат
Malakoff Corp,5264,Malakoff Corp Bhd
Manila Electric,MER,Manila Electric Co
Marubeni,8002,丸紅株式会社
Maxim Power,MXG,Maxim Power Corp
Mechel PAO,MTLR,Мечел ПАО
Mitrabahtera Segara,MBSS,PT Mitrabahtera Segara Sejati Tbk
Mitrabara Adiperdana,MBAP,PT Mitrabara Adiperdana Tbk
Mitsubishi,8058,三菱商事株式会社
Mitsui & Co,8031,三井物産株式会社
Mitsui Matsushima Hldgs,1518,三井松島ホールディングス株式会社
Mongolian Mining,975,Mongolian Mining Corp
Morella Corp,1MC,Morella Corp Ltd
NACCO Industries,NC,NACCO Industries Inc
NALCO,532234,National Aluminium Co Ltd
Natural Resources,NRP,Natural Resources Partners LP
Nava,513023,Nava Ltd
New Hope Corp,NHC,New Hope Corp Ltd
Ningxia Baofeng Energy Gr,600989,宁夏宝丰能源集团股份有限公司
Nippon Coke & Engineering,3315,日本コークス工業株式会社
Nippon Steel,5401,日本製鉄株式会社
NLC India,513683,NLC India Ltd
NMDC,526371,NMDC Ltd
NorthWestern Energy Group,NWE,NorthWestern Energy Group Inc
NTPC,532555,NTPC Ltd
ODAS Elektrik Uretim,ODAS,ODAS Elektrik Uretim Sanayi Ticaret A.S.
Orica,ORI,Orica Ltd
Otter Tail,OTTR,Otter Tail Corp
Park Elektrik Uretim,PRKME,PARK ELEKTRİK ÜRETİM MADENCİLİK SANAYİ VE TİCARET A.Ş.
Peabody Energy,BTU,Peabody Energy Corp
Perennial Energy Hldgs,2798,久泰邦达能源控股有限公司
Petrindo Jaya Kreasi,CUAN,PT Petrindo Jaya Kreasi Tbk
PetroVietnam Power,POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP
Pingdingshan Tianan Coal,601666,平顶山天安煤业股份有限公司
Pinnacle West Capital,PNW,Pinnacle West Capital Corp
PKP Cargo,PKP,PKP Cargo SA
PNM Resources,PNM,PNM Resources Inc
Polska Grupa Energetyczna,PGE,PGE POLSKA GRUPA ENERGETYCZNA SPÓŁKA AKCYJNA
