original_uuids,mapped_uuid
5eedd8fe-9832-4b84-b343-97547766ea79,5eedd8fe-9832-4b84-b343-97547766ea79
17a340e5-61ca-40d0-b8d8-f8b8af1f12d7,17a340e5-61ca-40d0-b8d8-f8b8af1f12d7
46f8e21b-6f03-4945-a198-359da4549578,46f8e21b-6f03-4945-a198-359da4549578
d01e299c-bd74-4aba-8ebd-9630651be9d6,d01e299c-bd74-4aba-8ebd-9630651be9d6
a23901f6-21ff-438c-b99a-db73f637bc00,a23901f6-21ff-438c-b99a-db73f637bc00
0d2a276c-2df8-4a05-9561-3bf4567da229,0d2a276c-2df8-4a05-9561-3bf4567da229
5223d158-eb7f-4fd7-94b4-564426dca4cd,5223d158-eb7f-4fd7-94b4-564426dca4cd
f028dd28-7eb9-4f24-82c3-f0f59012d61f,f028dd28-7eb9-4f24-82c3-f0f59012d61f
172578b5-2a56-48aa-b440-aea7c453be92,172578b5-2a56-48aa-b440-aea7c453be92
4aeb4b48-df44-4b8b-b8f9-95b4c9e6e0af,4aeb4b48-df44-4b8b-b8f9-95b4c9e6e0af
4aa7546d-2bd2-4ab9-ba24-c3e207fc97d2,4aa7546d-2bd2-4ab9-ba24-c3e207fc97d2
d445e438-1217-4dad-9035-6538b15f2525,d445e438-1217-4dad-9035-6538b15f2525
e2bca835-be88-42d3-bc62-82ea5f8ab2fa,e2bca835-be88-42d3-bc62-82ea5f8ab2fa
ef8a5785-9d85-4892-8ffa-03adc9688b13,ef8a5785-9d85-4892-8ffa-03adc9688b13
812f8724-6125-4e84-a783-c3bd508f2824,812f8724-6125-4e84-a783-c3bd508f2824
a34c98ab-6d1e-43c0-9257-aa7cbef5aa3a,a34c98ab-6d1e-43c0-9257-aa7cbef5aa3a
a78edd1a-41d2-4384-8b8b-b5d9d79ad5a6,a78edd1a-41d2-4384-8b8b-b5d9d79ad5a6
21e453a9-9479-41b8-b0dd-d5a4b7e1c184,21e453a9-9479-41b8-b0dd-d5a4b7e1c184
e4c4786b-08b4-4c70-9026-57fd1bdcba22,e4c4786b-08b4-4c70-9026-57fd1bdcba22
6efab9cd-4ec1-455c-bc99-3a4f85875136,6efab9cd-4ec1-455c-bc99-3a4f85875136
2864b956-83e8-43c4-8335-c2db20f6c9db,2864b956-83e8-43c4-8335-c2db20f6c9db
d0345375-7faa-465f-a77e-b412a0d96a7f,d0345375-7faa-465f-a77e-b412a0d96a7f
b2d26cb7-3bda-4d51-b554-004953aa42d6,b2d26cb7-3bda-4d51-b554-004953aa42d6
3fd4adc8-c1c0-474e-9b03-6a6cc10d4581,3fd4adc8-c1c0-474e-9b03-6a6cc10d4581
f61077da-b70a-4318-a3eb-bbd1155f2039,f61077da-b70a-4318-a3eb-bbd1155f2039
a02515e8-cbad-4458-9cb3-d155034e12e2,a02515e8-cbad-4458-9cb3-d155034e12e2
32175e6c-cc67-4a24-94d5-34bb178c6024,32175e6c-cc67-4a24-94d5-34bb178c6024
ae63f0e5-3748-46eb-bdef-1fbfc3e48a31,ae63f0e5-3748-46eb-bdef-1fbfc3e48a31
8051de89-6d4d-4d94-94fc-60a8564c0501,8051de89-6d4d-4d94-94fc-60a8564c0501
de49837f-0401-4d79-baf0-83714402ecc1,de49837f-0401-4d79-baf0-83714402ecc1
9dc1e7b9-d2ec-4ab5-bbf8-df0f01c99890,9dc1e7b9-d2ec-4ab5-bbf8-df0f01c99890
e801c668-cbb6-461c-aaf3-5beea147d3d5,e801c668-cbb6-461c-aaf3-5beea147d3d5
30b3903a-26e2-416d-977e-a1a2bd8e24e3,30b3903a-26e2-416d-977e-a1a2bd8e24e3
0d842823-9ad4-462b-bddd-9e10070c688e,0d842823-9ad4-462b-bddd-9e10070c688e
8706c8da-f429-460f-9f5a-13e75d6e44ab,8706c8da-f429-460f-9f5a-13e75d6e44ab
f7e945b4-67d1-4f6b-a65f-3f8a6a561cd0,f7e945b4-67d1-4f6b-a65f-3f8a6a561cd0
658cd30d-cfc1-40ad-8a52-579fb5230d05,658cd30d-cfc1-40ad-8a52-579fb5230d05
b02b8be2-8823-4fc4-be44-a68f6c7a3b77,b02b8be2-8823-4fc4-be44-a68f6c7a3b77
7234c5d4-768d-4a53-8cb5-2d30f1e931e3,7234c5d4-768d-4a53-8cb5-2d30f1e931e3
687f0565-85f8-402a-acfb-0dfbb97f5414,687f0565-85f8-402a-acfb-0dfbb97f5414
20ea815c-dbd6-45b5-a79d-999da8e57bda,20ea815c-dbd6-45b5-a79d-999da8e57bda
9bc43f70-73e2-4b79-a3ff-b9b207f75e6c,9bc43f70-73e2-4b79-a3ff-b9b207f75e6c
df68e36a-26a6-4df3-85a0-d63e155dbc91,df68e36a-26a6-4df3-85a0-d63e155dbc91
5a7ab997-0111-408a-a53d-c4e871a577b8,5a7ab997-0111-408a-a53d-c4e871a577b8
8f46bed6-f188-4902-a5cb-a260728ae71d,8f46bed6-f188-4902-a5cb-a260728ae71d
5bef744b-3678-4385-9963-c9ba6dc59786,5bef744b-3678-4385-9963-c9ba6dc59786
1ce82734-329f-47c3-b715-32e9cdd36124,1ce82734-329f-47c3-b715-32e9cdd36124
71f55ccb-58b8-42ba-bb7d-913ac9080836,71f55ccb-58b8-42ba-bb7d-913ac9080836
2156f9cf-afd7-4d9f-a5d2-91ace44a1156,2156f9cf-afd7-4d9f-a5d2-91ace44a1156
d8fc97a2-50ef-403f-ba87-21a0f0716472,d8fc97a2-50ef-403f-ba87-21a0f0716472
159fdb10-a8dc-4777-86dc-39db1216b999,159fdb10-a8dc-4777-86dc-39db1216b999
dcbcef7e-a2a6-46b6-9adf-3be0b03a760f,dcbcef7e-a2a6-46b6-9adf-3be0b03a760f
d054c93c-fd82-49fa-a6af-77493703cead,d054c93c-fd82-49fa-a6af-77493703cead
d58ccf75-2712-4a31-b9a8-e7f724d7d60f,d58ccf75-2712-4a31-b9a8-e7f724d7d60f
36d46973-727f-4692-a50e-d9e6fd1ede64,36d46973-727f-4692-a50e-d9e6fd1ede64
84060433-703e-4537-8213-474ea162513f,84060433-703e-4537-8213-474ea162513f
c90f3081-2cc4-4ea7-b63c-2900a4680051,c90f3081-2cc4-4ea7-b63c-2900a4680051
aa310bd2-1965-4aef-8b12-502fa6f42572,aa310bd2-1965-4aef-8b12-502fa6f42572
595a851e-8c40-45b6-8aea-59b9f870a27d,595a851e-8c40-45b6-8aea-59b9f870a27d
0c75a519-dfe4-4195-ad12-ac6322a5ef93,0c75a519-dfe4-4195-ad12-ac6322a5ef93
1af8634e-5f35-4b8d-a816-11661401e24f,1af8634e-5f35-4b8d-a816-11661401e24f
a8a6e4bf-1217-4008-8357-b940d073207d,a8a6e4bf-1217-4008-8357-b940d073207d
3f394e40-3af6-4c4c-83e3-3e814e5bc6ec,3f394e40-3af6-4c4c-83e3-3e814e5bc6ec
6636858f-a229-4d9b-9e9f-3a339dec3650,6636858f-a229-4d9b-9e9f-3a339dec3650
1fd31f40-e96a-4974-a7a8-5d66be02c063,1fd31f40-e96a-4974-a7a8-5d66be02c063
3d1976ec-d787-42ca-b641-4069f312a9bd,3d1976ec-d787-42ca-b641-4069f312a9bd
300c121b-128c-4a04-913c-0bd33f18bcf5,300c121b-128c-4a04-913c-0bd33f18bcf5
ff845829-3f6b-4ea1-899b-20f8036cc282,ff845829-3f6b-4ea1-899b-20f8036cc282
7aa8e885-b6b9-4ad6-9389-49289b43e772,7aa8e885-b6b9-4ad6-9389-49289b43e772
cc6279ee-12d7-4b6f-bf10-f3126cc4f616,cc6279ee-12d7-4b6f-bf10-f3126cc4f616
6bdc362a-85ab-4c8e-8877-98df18c96e02,6bdc362a-85ab-4c8e-8877-98df18c96e02
95d342f7-cd8c-4ad3-b9d6-6ae9403c0447,95d342f7-cd8c-4ad3-b9d6-6ae9403c0447
6d2f39dc-93a3-4d84-b7cc-556f3b57e879,6d2f39dc-93a3-4d84-b7cc-556f3b57e879
993cdbb9-25bc-4fc4-aa9c-6de4c3060893,993cdbb9-25bc-4fc4-aa9c-6de4c3060893
93595ec0-a7a1-4936-9315-92f6c9cb0db2,93595ec0-a7a1-4936-9315-92f6c9cb0db2
c4c5a906-257a-4899-84cf-d22703d922f5,c4c5a906-257a-4899-84cf-d22703d922f5
fee9c351-8820-47cf-8f3b-596ac40768eb,fee9c351-8820-47cf-8f3b-596ac40768eb
c12cddf0-b905-4f5d-86d0-85e7c1df5aa8,c12cddf0-b905-4f5d-86d0-85e7c1df5aa8
3bf8dec1-a116-412b-b532-369c9fd779eb,3bf8dec1-a116-412b-b532-369c9fd779eb
327cb2c5-84f4-4202-bea3-e1866975b108,327cb2c5-84f4-4202-bea3-e1866975b108
b9582a10-869f-40f2-9bd1-4df593bff7ea,b9582a10-869f-40f2-9bd1-4df593bff7ea
d55e4b6e-0cb4-4af9-be11-3deff4965ac9,d55e4b6e-0cb4-4af9-be11-3deff4965ac9
e98bb475-d9ad-4845-88db-6f70adc0db7d,e98bb475-d9ad-4845-88db-6f70adc0db7d
dd484b04-6740-469a-9a4e-af7570d279b8,dd484b04-6740-469a-9a4e-af7570d279b8
7d37dfb9-93bf-4041-9c55-b5e1ca899bb6,7d37dfb9-93bf-4041-9c55-b5e1ca899bb6
b4152265-7ef1-4d25-bb7a-b0ecb58e34f4,b4152265-7ef1-4d25-bb7a-b0ecb58e34f4
6734f08f-5d39-4a96-931b-050dd9615cd3,6734f08f-5d39-4a96-931b-050dd9615cd3
95387d4e-6cfa-49f1-b786-b6ba91b044bf,95387d4e-6cfa-49f1-b786-b6ba91b044bf
14a06f99-db82-44aa-9e73-32505ec8f9e7,14a06f99-db82-44aa-9e73-32505ec8f9e7
3ef5ad41-b64e-416b-b8c3-d07a59bdeba1,3ef5ad41-b64e-416b-b8c3-d07a59bdeba1
